Year,wales_subregion,wales_counties,Number of Projects ,Electrical Capacity (MWe) ,Heat Capacity (MWth) ,Electrical Generation (MWhe) ,Heat Generation (MWhth) 
2012,North Wales ,Isle of Anglesey ,1349,531.716825,2.142833,2667324.161,4834.157767
2012,North Wales,Gwynedd ,1681,58.413402,3.550626,103820.4249,8312.851394
2012,North Wales,Conwy ,846,57.860104,1.624795,120903.3092,2716.120184
2012,North Wales,Denbighshire ,974,34.790941,0.8559,77341.35718,1475.11206
2012,North Wales,Flintshire ,1485,26.252275,1.122653,151315.4869,2173.316921
2012,North Wales,Wrexham ,3666,14.321647,4.425736,37444.71407,13297.44894
2012,Mid & South West Wales ,Powys ,3182,139.962704,14.946508,313486.0663,55223.70124
2012,Mid & South West Wales,Ceredigion ,1544,141.727166,2.640283,295286.8494,4820.649834
2012,Mid & South West Wales,Pembrokeshire ,2358.5,21.533197,3.992509,32333.61245,9397.604633
2012,Mid & South West Wales,Carmarthenshire ,2668.5,97.911995,3.775305,205519.9037,6553.552206
2012,Mid & South West Wales,Swansea ,1579,7.68701,1.554119,14733.41812,4128.832921
2012,Mid & South West Wales,Neath Port Talbot ,817,80.80957,0.396225,265707.0189,810.673265
2012,South East Wales ,Bridgend ,1271,4.62001,0.458259,8277.942869,408.742105
2012,South East Wales,Vale of Glamorgan ,1113,38.676162,1.076862,248241.2751,2995.169576
2012,South East Wales,Cardiff ,1949,17.217722,1.382886,51056.22059,4556.058741
2012,South East Wales,Rhondda Cynon Taf ,1915,56.034786,6.9288,134032.2874,22218.22469
2012,South East Wales,Merthyr Tydfil ,375,7.01614,0.065619,33158.50741,120.737011
2012,South East Wales,Caerphilly ,1946,4.724489,2.756342,3614.2792,9731.039648
2012,South East Wales,Blaenau Gwent ,712,3.99163,1.362824,14587.70266,3573.439563
2012,South East Wales,Torfaen ,1490,4.414249,1.416511,3712.477032,4837.348493
2012,South East Wales,Monmouthshire ,1953,10.723958,1.977594,9005.986168,3719.125478
2012,South East Wales,Newport ,1285,16.032455,0.141521,34089.6038,148.640197
2012,Offshore ,offshore,2,150,0,460215,0
2012,Unknown (1),Unknown,66,5.90727,0,7022.95059,0
2014,North Wales ,Isle of Anglesey ,1691,551.130674,4.210033,2699200.25,9801.191498
2014,North Wales,Gwynedd ,2252,63.006031,9.966732,115754.39,27037.06817
2014,North Wales,Conwy ,1367,726.177947,6.472608,2362178.884,16637.43585
2014,North Wales,Denbighshire ,1533,97.738777,11.523044,269031.4983,34535.21454
2014,North Wales,Flintshire ,2275,33.25188,6.889126,158743.532,19709.81374
2014,North Wales,Wrexham ,4273,14.803854,32.505826,34896.06977,101833.7467
2014,Mid & South West Wales ,Powys ,4920,149.67289,78.376252,336630.6613,232092.5064
2014,Mid & South West Wales,Ceredigion ,2343,149.403245,13.459296,306008.0271,37232.54678
2014,Mid & South West Wales,Pembrokeshire ,3453,127.54111,11.800173,145492.2796,30115.59314
2014,Mid & South West Wales,Carmarthenshire ,3856,152.095175,16.540516,282617.5469,45137.38681
2014,Mid & South West Wales,Swansea ,2208,18.7062,4.305274,23533.25294,13532.62024
2014,Mid & South West Wales,Neath Port Talbot ,1263,86.593236,12.394015,266451.9045,47450.42838
