Year,Country,SolarEnergy,WindEnergy,HydroEnergy,OtherRenewableEnergy,Electrical Generation (MWhe)
2000,USA,437.086107,1435.928598,1544.389701,319.3963179,3736.800724
2001,USA,240.4167764,402.7928764,398.7421407,439.7792656,1481.731059
2002,USA,641.0035106,1120.494351,334.9936403,486.4594335,2582.950935
2003,USA,849.1983767,476.0408439,609.1024443,132.5320294,2066.873694
2004,USA,373.8180187,882.1833611,1034.306532,181.0531131,2471.361025
2005,USA,650.6676053,381.3420188,796.6459025,214.8628295,2043.518356
2006,USA,510.4629858,1220.72875,639.4454297,281.4054973,2652.042663
2007,USA,633.173112,260.3855365,1332.826248,126.7358557,2353.120752
2008,USA,158.5464337,1433.551198,1941.574456,413.7788067,3947.450895
2009,USA,374.1523923,326.9737482,1463.196145,248.0686222,2412.390908
2010,USA,209.8344114,843.7299831,358.4604859,459.1941809,1871.219061
2011,USA,332.9019834,1061.27897,829.9088294,284.0306095,2508.120392
2012,USA,592.0392514,440.3107922,1948.293867,398.8097705,3379.453681
2013,USA,945.5490474,1363.275556,1316.429964,464.8434058,4090.097973
2014,USA,179.6432518,454.7777211,376.8863911,196.3986488,1207.706013
2015,USA,449.8095607,552.7537413,1708.853766,210.538997,2921.956065
2016,USA,352.8410587,905.5049081,539.5711825,410.9886413,2208.905791
2017,USA,167.0955793,1482.953018,1612.816108,139.4220567,3402.286761
2018,USA,104.9699054,1260.099857,1501.657485,378.0532256,3244.780473
2019,USA,794.143312,296.2580473,909.3917385,102.1410768,2101.934175
2020,USA,876.7930833,1010.287565,862.5266422,78.60125763,2828.208548
2021,USA,379.8840895,622.7383186,1540.330503,336.9008621,2879.853773
2022,USA,898.4914683,813.8794027,503.3102181,370.9601543,2586.641243
2023,USA,784.7065438,929.6603568,1610.644206,272.2080184,3597.219125
2000,China,570.4595464,755.8033239,343.2125155,98.55114215,1768.026528
2001,China,128.2862671,1027.333535,834.4051678,278.856811,2268.881781
2002,China,916.8098265,524.0798979,997.6509692,389.9980123,2828.538706
2003,China,305.9183489,300.0738828,792.57747,122.5495793,1521.119281
2004,China,936.7278871,1250.556493,1376.786386,442.1572656,4006.228032
2005,China,823.3048692,442.5410766,1817.350297,292.7040089,3375.900252
2006,China,826.6961396,1364.91869,840.6059075,99.52336604,3131.744103
2007,China,305.1416463,755.2401252,1690.625102,437.3287625,3188.335636
2008,China,106.2569175,863.9714934,1009.598705,149.9485147,2129.775631
2009,China,207.8788306,638.8997228,1902.946497,195.4413194,2945.166369
2010,China,566.9115596,1113.924647,918.170324,487.3019372,3086.308467
2011,China,966.2025654,527.3169846,1145.32246,185.3952394,2824.237249
2012,China,356.3564449,247.9530316,1336.259368,276.2055605,2216.774405
2013,China,146.3308761,562.2404035,1844.052006,157.8028508,2710.426137
2014,China,230.4053849,836.2885884,1975.605772,158.9248722,3201.224617
2015,China,704.9219927,1190.1055,703.9838248,377.6973569,2976.708674
2016,China,431.0048194,1021.99758,1377.000508,291.0986078,3121.101515
2017,China,181.260793,1285.893244,845.3261105,133.9333297,2446.413477
2018,China,136.6976274,968.1608261,1451.859415,57.46452302,2614.182392
2019,China,560.8837525,494.4445078,1396.793744,128.4648931,2580.586897
2020,China,721.8439643,702.7559502,1892.440981,111.8844249,3428.92532
2021,China,406.9597159,347.5155776,1871.979151,444.802709,3071.257154
2022,China,332.1474649,1057.97926,1689.27774,299.8403652,3379.24483
2023,China,576.6855205,514.4079782,458.2747053,453.7470911,2003.115295
2000,India,910.3762514,1023.031894,876.3506448,207.1443086,3016.903099
2001,India,753.360111,1366.243338,1808.046921,400.9439956,4328.594366
2002,India,677.8284815,309.3819545,574.768814,454.3493848,2016.328635
2003,India,645.7861537,211.9561671,472.5016229,348.5757961,1678.81974
2004,India,104.5554255,409.0504668,1232.847442,361.352839,2107.806173
2005,India,686.7651336,491.5501023,1510.704676,156.7620894,2845.782002
2006,India,392.8597283,1170.438827,1404.375928,432.1505347,3399.825018
2007,India,691.8516031,938.8011843,459.2471053,215.4721114,2305.372004
2008,India,338.6821309,517.1865364,1954.117943,226.8939761,3036.880586
2009,India,902.8418997,1020.480214,1651.179216,276.1866919,3850.688021
2010,India,619.2134962,840.273002,631.9130793,375.1034519,2466.503029
2011,India,352.6951262,231.6107564,1397.302903,129.6998057,2111.308591
2012,India,946.4127259,1440.10715,1855.269463,216.5714151,4458.360755
2013,India,113.9109549,1406.814131,1027.913052,484.9946686,3033.632807
2014,India,967.2579794,1308.912292,800.5631165,223.2939779,3300.027366
2015,India,866.0230044,611.9986067,588.1376694,300.5605681,2366.719849
2016,India,942.5392967,1104.838736,1269.103989,93.7294222,3410.211444
2017,India,653.506504,1487.070005,538.1428259,283.2483436,2961.967679
2018,India,889.6357647,1162.999203,1484.92676,366.1178378,3903.679565
2019,India,423.5420361,581.6693975,1675.913964,414.5510276,3095.676426
2020,India,880.3650867,1387.212718,1169.282078,275.6823326,3712.542216
2021,India,818.4656611,1044.95311,1493.343691,408.1067012,3764.869164
2022,India,901.0048076,639.3937039,938.4910195,92.29187293,2571.181404
2023,India,620.4521269,246.7249559,1091.516631,294.1900856,2252.883799
2000,Germany,357.8871269,968.0832387,351.8504249,66.80668494,1744.627475
2001,Germany,840.3405046,668.2478338,516.0028715,285.009467,2309.600677
2002,Germany,792.9941978,480.5673357,1358.913809,88.40635925,2720.881702
2003,Germany,146.5135491,890.761021,1219.079707,336.8434557,2593.197733
